essay_id, native_language, proficiency
997442,ARA,high
97262,ARA,medium
97031,ITA,medium
96321,ARA,medium
959618,ITA,high
959473,JPN,high
957930,ARA,medium
913093,ARA,high
884984,ITA,high
882583,JPN,high
873660,ARA,medium
859305,JPN,medium
848739,ARA,medium
841116,ITA,high
835172,JPN,medium
831934,JPN,high
824130,ITA,high
785740,JPN,high
754914,ARA,high
747609,ITA,high
745837,ITA,high
743600,JPN,medium
739968,JPN,high
731320,JPN,medium
723813,ITA,medium
721116,JPN,medium
719381,ITA,high
708515,ARA,high
706969,JPN,high
687936,ITA,medium
687472,JPN,medium
670735,JPN,high
669540,ITA,high
66235,ITA,high
660863,ITA,high
6514,ARA,high
622011,ARA,medium
615564,JPN,high
606951,JPN,high
587861,ARA,medium
56782,ITA,high
562687,ARA,medium
560841,JPN,high
552573,JPN,high
533407,JPN,medium
527476,ARA,medium
523657,JPN,high
52063,ARA,high
516023,ITA,high
507926,ARA,medium
487924,JPN,high
4837,JPN,medium
464971,ITA,medium
463633,ARA,medium
457819,JPN,high
436708,JPN,high
433177,ITA,high
429450,ARA,high
414977,ITA,high
405894,ITA,medium
391230,JPN,high
360150,ITA,medium
358636,ITA,medium
348032,JPN,high
334282,ITA,medium
31135,JPN,medium
286517,ITA,medium
275310,ARA,high
267144,ARA,high
263559,JPN,high
262064,ITA,medium
239337,ARA,medium
237591,ARA,medium
232846,ARA,high
23175,JPN,high
218795,ARA,high
200730,ITA,medium
1996386,JPN,high
1975798,ARA,medium
1966802,ARA,high
1953464,JPN,high
1951528,ITA,medium
1950275,ARA,high
1947849,JPN,medium
1937666,JPN,medium
1934054,ARA,medium
1932975,ARA,high
1924679,ARA,medium
192335,ITA,high
1917631,ARA,medium
1911820,ITA,medium
189340,ARA,medium
1885950,ARA,high
187987,ITA,medium
1870544,JPN,medium
1867819,ITA,medium
1849236,ARA,high
1816949,ARA,high
1810830,ITA,high
1768412,JPN,high
1759477,JPN,high
1757985,JPN,medium
1751652,ARA,medium
1743888,JPN,high
1731832,ITA,medium
1726678,ITA,high
1716337,ITA,medium
1712153,ITA,high
1704170,JPN,medium
1701182,JPN,high
1696890,ARA,high
1674925,ITA,high
1668662,ITA,medium
1648568,JPN,medium
1648227,ITA,medium
1646882,ARA,high
1642257,ITA,high
1634103,ITA,high
1630975,ARA,medium
1625528,ITA,medium
161213,ARA,high
1599051,ARA,medium
1598715,ITA,medium
157344,ITA,high
1567985,JPN,medium
1567568,ARA,medium
1565792,JPN,medium
1561735,JPN,high
155044,ITA,high
1550183,ARA,high
1543632,ITA,medium
1525311,JPN,high
1519803,JPN,high
1507706,ITA,high
150357,ARA,high
1476813,JPN,medium
1473557,ITA,high
1467667,ITA,medium
1431701,ITA,medium
1431594,JPN,high
139949,ARA,medium
1360916,ARA,high
1356933,ARA,high
1356359,ARA,medium
1353593,ARA,medium
1349534,ITA,high
1347307,ITA,medium
1347061,ITA,medium
1341712,ARA,medium
1340850,JPN,medium
1311812,ITA,high
1272488,ITA,high
1262169,ARA,medium
1254438,ARA,medium
1235866,JPN,high
1223368,ARA,high
121083,ITA,medium
1204080,JPN,medium
1191927,ARA,high
1166250,ARA,medium
1165154,ITA,high
116491,ARA,high
1160989,JPN,medium
11557,ARA,high
1153775,JPN,medium
1134507,JPN,medium
1122943,ARA,high
1121565,JPN,medium
1112401,ITA,high
1112155,JPN,medium
1091653,ARA,high
1079643,JPN,medium
1077814,ITA,medium
1076792,ITA,high
1063758,ITA,medium
1061996,JPN,high
1029787,ARA,high
1018459,JPN,high
1012679,ARA,high
1005892,ARA,medium
